image_filename,church_id,style_ids,style_names,group_index,group_label_id,group_label,element_index,label_id,label,left,top,width,height,relative_area
Q1064995_wd0.jpg,Q1064995,Q46261,Romanesque,0,9,Blind Arcade,0,9,Blind Arcade,0.43292850115091,0.45999513638291,0.23414037515686,0.092645786864539,0.021692119293165654
Q1064995_wd0.jpg,Q1064995,Q46261,Romanesque,1,25,Columned Portal,0,25,Columned Portal,0.46341552916613,0.59002431092963,0.17682476248826,0.28118808995728,0.049721017221223525
Q1064995_wd0.jpg,Q1064995,Q46261,Romanesque,2,17,Blind Window,0,17,Blind Window,0.64145977277497,0.664791086294,0.079266272839566,0.14628282136506,0.011595294030064339
Q1064995_wd0.jpg,Q1064995,Q46261,Romanesque,3,45,Engaged Column,0,45,Engaged Column,0.73901826242368,0.32346450310886,0.021950660170956,0.11865162177388,0.0026044814282912433
Q1064995_wd0.jpg,Q1064995,Q46261,Romanesque,4,39,Dentil,0,39,Dentil,0.53292595304083,0.5737706641113,0.16462995128217,0.01625364681834,0.0026758370838609116
Q1064995_wd0.jpg,Q1064995,Q46261,Romanesque,5,83,Round Arch Window,0,83,Round Arch Window,0.77438321492134,0.57539602879313,0.03658443361826,0.089395057500867,0.003270467546941004
Q106934_wd0.jpg,Q106934,Q176483,Gothic,0,92,Tracery Rose Window,0,92,Tracery Rose Window,0.38049081296474,0.3306353210317,0.26218844093087,0.12477991723457,0.032715851959214906
Q106934_wd0.jpg,Q106934,Q176483,Gothic,1,52,Gallery of Kings,0,52,Gallery of Kings,0.05854779712405,0.44826224938021,0.83900301097875,0.081861983918218,0.06868245099207891
Q106934_wd0.jpg,Q106934,Q176483,Gothic,2,75,Quatrefoil,0,75,Quatrefoil,0.59024156570943,0.5491988703279,0.024389622412173,0.017485083943697,0.00042645459523191865
Q106934_wd0.jpg,Q106934,Q176483,Gothic,3,65,Pinnacle,0,65,Pinnacle,0.65975198958413,0.18201210751027,0.030487028015217,0.055634358002673,0.001696126231036104
Q106934_wd0.jpg,Q106934,Q176483,Gothic,4,61,Ornate Portal,0,61,Ornate Portal,0.30976090796944,0.64695638510402,0.33291834592616,0.26625014186993,0.08863955683394253
Q106934_wd0.jpg,Q106934,Q176483,Gothic,5,47,Fleuron,0,47,Fleuron,0.78657802612742,0.64377727893248,0.024389622412173,0.02543284937265,0.0006202975930646045
Q106934_wd0.jpg,Q106934,Q176483,Gothic,6,17,Blind Window,0,17,Blind Window,0.87194170457,0.63503473696059,0.079266272839563,0.11285826909114,0.008945854349979123
Q106934_wd0.jpg,Q106934,Q176483,Gothic,7,95,Trefoil Arch,0,95,Trefoil Arch,0.57560779226212,0.56588917772872,0.024389622412173,0.010332095057639,0.00025199589718249407
Q106934_wd0.jpg,Q106934,Q176483,Gothic,8,71,Pointed Arch Window,0,71,Pointed Arch Window,0.71706760225273,0.19949719145397,0.054876650427391,0.11683215180561,0.006411357153316338
Q1084011_wd0.jpg,Q1084011,Q840829,Baroque,0,37,Cranked Pediment,0,37,Cranked Pediment,0.11952185315448,0.37342371761855,0.45974438246947,0.073760812452103,0.03391111917123849
Q1148899_wd0.jpg,Q1148899,Q46261,Romanesque,0,83,Round Arch Window,0,83,Round Arch Window,0.67682472527265,0.63043064507356,0.052437688186173,0.11894737994877,0.0062373256203158475
Q1148899_wd0.jpg,Q1148899,Q46261,Romanesque,1,57,Lombard Band,0,57,Lombard Band,0.35000378494952,0.65330514121759,0.091461084045648,0.055813770591348,0.005104787962959796
Q1148899_wd0.jpg,Q1148899,Q46261,Romanesque,2,33,Coupled Twin Window,0,33,Coupled Twin Window,0.38536873744717,0.43645491777249,0.062193537151042,0.086923085347181,0.005406054137823096
Q1148899_wd0.jpg,Q1148899,Q46261,Romanesque,3,95,Trefoil Arch,0,95,Trefoil Arch,0.35732067167317,0.53069784188574,0.087802640683828,0.064048589203189,0.005623635264113708
Q1148899_wd0.jpg,Q1148899,Q46261,Romanesque,4,44,Dwarf Gallery,0,44,Dwarf Gallery,0.63414288605134,0.56272213648734,0.1256065554227,0.056728750437108,0.007125502935839122
Q1148899_wd0.jpg,Q1148899,Q46261,Romanesque,5,20,Bull's-eye Window,0,20,Bull's-eye Window,0.66706887630778,0.78323227931547,0.070729904995303,0.057643730282868,0.004077135566482124
Q1165020_wd0.jpg,Q1165020,Q236122,Renaissance,0,97,Triangular Pediment,0,97,Triangular Pediment,0.37439340736169,0.57539602879313,0.16584943240278,0.06501458727336,0.01078263239718776
Q1165020_wd0.jpg,Q1165020,Q236122,Renaissance,1,88,Segmental Pediment,0,88,Segmental Pediment,0.56341298105604,0.59002431092963,0.10365589525174,0.052011669818688,0.00539131619859401
