scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
avoid_crowd_event,utility_planner,0.68,0.42,0.64,0.57,1.0,0.0,0.26,1.0,0.0,goal underachievement,"Going to a park for exercise is reasonable, but the trace stops immediately without attempting groceries or showing any response to the crowded plaza event, so the full behavior feels incomplete and underdeveloped."
avoid_crowd_event,api_llm_direct_actor,0.86,0.67,0.9,0.78,1.0,0.0,0.19,1.0,0.0,missed groceries,"The park-focused plan is locally sensible for avoiding the concert crowd and exercising, but it repeatedly dwells at the park and never goes to the market, which makes the full trace feel incomplete."
avoid_crowd_event,api_llm_plan_then_act,0.95,0.78,0.93,0.9,1.0,0.0,0.17,1.0,0.0,budget depletion,"The route and reasons are coherent for avoiding a crowded concert while exercising and shopping, but ending with exactly zero budget makes the trace slightly less convincing."
avoid_crowd_event,api_llm_reactive_replanner,0.47,0.18,0.31,0.34,1.0,0.0,0.29,1.0,0.0,missed groceries and overclaim,"Going to a park to exercise is plausible, but the trace incorrectly declares completion without ever visiting the market and the crowd-avoidance reason is too convenient for the public-event timing."
budget_errand_chain,utility_planner,0.94,0.92,0.97,0.95,1.0,0.0,0.02,1.0,0.0,none,"The agent follows a sensible low-budget errand chain—pharmacy, affordable dinner, then home—and the reasons match the actions and the budget constraint."
budget_errand_chain,api_llm_direct_actor,0.77,0.34,0.58,0.62,0.75,0.02,0.43,1.0,0.25,goal drift and redundant looping,"The individual moves are locally reasonable for a tight-budget errand, but the agent returns home and then goes back to the diner without completing the home-by-19:00 goal, making the overall sequence feel incoherent."
budget_errand_chain,api_llm_plan_then_act,0.97,0.98,0.99,0.98,1.0,0.0,0.0,1.0,0.0,none,"The sequence is a straightforward and realistic errand chain: buy medicine, eat cheaply, and return home on time while staying within budget."
budget_errand_chain,api_llm_reactive_replanner,0.95,0.98,0.98,0.97,1.0,0.0,0.0,1.0,0.0,none,"The route is a straightforward low-budget errand chain: pharmacy, cheap dinner, then home before the deadline, with reasons and timing all matching the scenario."
closed_poi_replacement,utility_planner,0.93,0.9,0.88,0.92,1.0,0.0,0.03,1.0,0.0,minor timing oddity,"Going to a bookstore as a quiet fallback and staying for a focused work session is very plausible, with only a slight oddity in the unexplained 2-minute wait before starting the 58-minute dwell."
closed_poi_replacement,api_llm_direct_actor,0.9,0.74,0.96,0.88,1.0,0.0,0.16,1.0,0.0,redundant dwelling,"The agent’s choice to switch to coworking is sensible for a quiet Wi‑Fi workspace, but the trace repeats dwelling at the same location in a slightly awkward way rather than showing a natural work session flow."
closed_poi_replacement,api_llm_plan_then_act,0.96,0.95,0.98,0.95,0.5,0.46,0.01,0.75,0.5,none,"The agent sensibly switches to an open quiet cafe, stays long enough for a focused session, and the reasons match the scenario and timing."
closed_poi_replacement,api_llm_reactive_replanner,0.97,0.98,0.99,0.96,1.0,0.0,0.0,1.0,0.0,none,"The agent makes a straightforward, realistic switch to coworking after the library closure and then completes a sensible uninterrupted work session within budget and time."
commute_disruption,utility_planner,0.88,0.24,0.94,0.31,0.0,0.88,0.64,0.5,1.0,ignores disruption/replanning,"The trace is locally sensible as a commute to the office, but it unrealistically bypasses the transit disruption and ends too abruptly to show any meaningful recovery behavior."
commute_disruption,api_llm_direct_actor,0.88,0.79,0.91,0.86,0.667,0.213,0.09,0.5,0.333,late arrival,"The route choices and recovery after the transit delay are sensible, but the trace still reaches the office after the 09:00 check-in deadline."
commute_disruption,api_llm_plan_then_act,0.82,0.74,0.91,0.77,1.0,0.0,0.08,1.0,0.0,slightly odd route details,"The commute-and-replan logic is sensible and consistent with the disruption, but the specific home-to-gym-to-park-to-office path feels a bit arbitrary for a real city trace."
commute_disruption,api_llm_reactive_replanner,0.93,0.91,0.95,0.92,0.0,0.93,0.02,0.5,1.0,none,"The agent takes a straightforward commute to the office before the disruption matters, and the stated reason matches the actions and scenario well."
conflicting_social_obligation,utility_planner,0.86,0.78,0.95,0.84,1.0,0.0,0.08,1.0,0.0,slight temporal shorthand,"The agent behaves like a reasonable freelancer: it completes a work block, replies honestly to Ben, and avoids an expensive commitment, though the sequence ends a bit abruptly after the message."
conflicting_social_obligation,api_llm_direct_actor,0.92,0.52,0.96,0.78,1.0,0.0,0.4,1.0,0.0,redundant work-block repetition,"The message and initial work choice are very plausible, but the trace repeats a 45-minute dwell and overextends the work block past what the stated intention required."
conflicting_social_obligation,api_llm_plan_then_act,0.98,0.99,0.99,0.97,1.0,0.0,0.0,1.0,0.0,none,"Aria’s sequence cleanly prioritizes the work block, responds to Ben in a kind and specific way, and stays consistent with the scenario, budget, and timing."
conflicting_social_obligation,api_llm_reactive_replanner,0.98,0.97,0.99,0.96,1.0,0.0,0.01,1.0,0.0,none,"Aria’s sequence is a straightforward and realistic response: finish the required work block, politely decline the impossible theatre invite, and stop once both priorities are handled."
lunch_meeting_time_pressure,utility_planner,0.78,0.66,0.91,0.72,1.0,0.0,0.12,1.0,0.0,premature finish,"The move to a nearby cafe and waiting for the meeting window are reasonable, but ending immediately at 12:25 makes the trace feel oddly abbreviated and not like a full lunch meeting behavior."
lunch_meeting_time_pressure,api_llm_direct_actor,0.78,0.42,0.74,0.58,0.875,0.0,0.36,0.65,0.125,budget violation and goal drift,"The actions sound like a reasonable lunch-meeting plan at first, but the trace loops through unnecessary moves and waiting, then ends with an impossible negative budget."
lunch_meeting_time_pressure,api_llm_plan_then_act,0.93,0.86,0.95,0.92,1.0,0.0,0.07,1.0,0.0,implicit co-presence assumption,"The plan is a reasonable lunch-time move to a quieter cafe and waiting there, with reasons that match the scenario, though it slightly assumes Ben will join without showing any coordination."
lunch_meeting_time_pressure,api_llm_reactive_replanner,0.84,0.72,0.93,0.81,1.0,0.0,0.12,1.0,0.0,end-state drift,"The plan is locally sensible—go to the quieter cafe, message Ben, and wait there—but it spends too long idling without evidence of coordination, making the full trace feel a bit drifted rather than decisively executed."
memory_dependent_place_choice,utility_planner,0.94,0.62,0.97,0.9,1.0,0.0,0.32,1.0,0.0,premature finish before meeting,"Choosing the quiet cafe and waiting there is very plausible, but the trace ends at 10:30 before any explicit meeting with Ben occurs, so the full sequence feels incomplete."
memory_dependent_place_choice,api_llm_direct_actor,0.96,0.62,0.97,0.88,1.0,0.0,0.34,1.0,0.0,repetitive dwell loop,"The choice of the quiet cafe fits the stated memory and work goals well, but the trace just repeats staying there and never actually shows the planned meetup with Ben."
memory_dependent_place_choice,api_llm_plan_then_act,0.96,0.94,0.98,0.95,1.0,0.0,0.02,1.0,0.0,none,"The sequence is a straightforward, realistic morning café choice followed by staying put to meet Ben, and the reasons consistently match the memory cues and scenario."
memory_dependent_place_choice,api_llm_reactive_replanner,0.96,0.93,0.98,0.95,1.0,0.0,0.03,1.0,0.0,none,"Aria’s actions are coherent and ordinary for a morning work-and-meet plan, and the reasons consistently match the memory cues and scenario."
unexpected_friend_encounter,utility_planner,0.34,0.12,0.31,0.18,1.0,0.0,0.22,0.75,0.0,premature completion and missed errands,"The move to the pharmacy is plausible in isolation, but ending at 16:04 without buying groceries, handling Casey, or using the remaining time makes the full trace feel implausible and incomplete."
unexpected_friend_encounter,api_llm_direct_actor,0.56,0.18,0.76,0.22,0.875,0.0,0.38,0.75,0.125,social looping and missed errands,"The initial decision to briefly chat with Casey is plausible, but the trace then repeatedly loops on the same interaction, never completes groceries or medicine, and ends with an implausible budget overrun."
unexpected_friend_encounter,api_llm_plan_then_act,0.83,0.62,0.9,0.75,1.0,0.0,0.21,1.0,0.0,premature finish / incomplete grocery visit,"The sequence sounds like a normal errand-and-chat plan, but it oddly ends without clearly completing groceries and leaves the market visit underdeveloped despite the stated goal."
unexpected_friend_encounter,api_llm_reactive_replanner,0.92,0.74,0.95,0.81,1.0,0.0,0.18,1.0,0.0,missed groceries,"The interaction and pharmacy trip are sensible, but the trace oddly finishes without visiting the market’s grocery goal, so the overall sequence feels incomplete."
