scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,gatsim_official_planner,0.84,0.31,0.78,0.42,1.0,0.0,0.53,0.75,0.0,missed meeting and budget goal,"The pharmacy trip and return home are locally reasonable, but the trace stops early and never reaches the cafe meeting, so the overall behavior does not match the stated intention or full scenario."
hard_budget_entangled_meet,sotopia_official_llm_agent,0.44,0.22,0.18,0.41,0.833,0.0,0.22,0.45,0.167,goal drift and missing meeting logic,"The trace starts with a plausible trip to the pharmacy, but it then wanders through unrelated locations and never clearly completes the Casey meeting, home return, or budget-constrained planning."
hard_budget_entangled_meet,generative_agents_official_planner,0.67,0.18,0.12,0.22,0.917,0.0,0.49,0.45,0.083,adapter-driven detour and missing goal completion,"The sequence has a vaguely plausible city walk with a pharmacy stop and cafe meetup, but the repeated generic adapter actions ignore the stated intentions, waste time on irrelevant places, and end without a believable return-home completion under the budget constraint."
hard_budget_entangled_meet,agentsociety_official_plan_blocks,0.63,0.28,0.58,0.41,0.909,0.0,0.35,0.6,0.091,budget and task drift,"The early pharmacy-to-cafe arc is plausible, but the trace spends the remaining budget on an unnecessary cafe purchase and then drifts through unrelated locations, making the full sequence weak as believable city behavior."
hard_deadline_then_meet,gatsim_official_planner,0.84,0.28,0.93,0.41,1.0,0.0,0.56,1.0,0.0,deadline missed by detour,"The step-by-step actions are locally coherent and the reasons match them, but the sequence sends Aria to the cafe before the hard pharmacy deadline, which makes the overall behavior hard to believe as a successful urban plan."
hard_deadline_then_meet,sotopia_official_llm_agent,0.63,0.42,0.15,0.58,1.0,0.0,0.21,0.7,0.0,goal drift and unexplained detour,"The movement sequence is city-like on the surface, but it ignores the deadline-first intent, never reaches a meeting by the required window, and the repeated generic action reasons do not explain the detour pattern."
hard_deadline_then_meet,generative_agents_official_planner,0.84,0.18,0.12,0.22,1.0,0.0,0.66,0.7,0.0,adapter-like wandering,"The trace includes a timely pharmacy pickup, but the repeated city-hall/market/plaza detour and generic reasons do not match the stated goal of meeting Ben after the deadline."
hard_deadline_then_meet,agentsociety_official_plan_blocks,0.78,0.36,0.7,0.42,0.9,0.0,0.42,0.5,0.1,deadline missed by sequencing,"The plan sounds locally reasonable at first, but it reaches the pharmacy pickup after the 12:35 deadline and then drifts into an implausibly long, repetitive sequence before the meeting."
hard_full_evening_chain,gatsim_official_planner,0.86,0.42,0.88,0.58,1.0,0.0,0.44,1.0,0.0,plan truncation and unmet social deadline,"The intended sequence is locally sensible for a packed evening, but it ends early at home and the Casey meeting is only partially supported by the timing, so the full trace looks incomplete rather than fully convincing."
hard_full_evening_chain,sotopia_official_llm_agent,0.88,0.62,0.93,0.78,0.9,0.0,0.26,0.7,0.1,sequence stops before home return,"The grocery-then-dinner-then-meet-at-diner portion is coherent and matches the stated intention, but the trace ends early at the diner without showing the planned trip home, which weakens full-sequence believability."
hard_full_evening_chain,generative_agents_official_planner,0.22,0.08,0.95,0.18,1.0,0.0,0.14,0.6,0.0,detour loop and missed social timing,"The individual actions are ordinary city activities, but the trace drifts into irrelevant gym/park looping, never buys groceries, and misses the intended diner meeting structure despite matching the stated reasons superficially."
hard_full_evening_chain,agentsociety_official_plan_blocks,0.86,0.38,0.84,0.81,1.0,0.0,0.48,0.6,0.0,early termination before meeting,"The actions and reasons look locally sensible for an evening errands-and-dinner plan, but the trace ends after dinner and never reaches the intended Casey meeting or the full home-by-nine chain."
hard_overlapping_windows,gatsim_official_planner,0.18,0.12,0.96,0.16,1.0,0.0,0.06,0.7,0.0,planner-scripted behavior,"The sequence matches the stated destinations and timing, but the reasons are generic system-script phrases and the overall trace looks like a procedural demo rather than ordinary city behavior, with no real handling of the overlapping-window constraint."
hard_overlapping_windows,sotopia_official_llm_agent,0.86,0.52,0.18,0.61,1.0,0.0,0.34,0.7,0.0,generic non-goal-directed wandering,"The itinerary looks superficially like a plausible city trip with reasonable movements and timing, but it never shows the stated social intent and mostly reads as aimless transit, so the full trace is only moderately believable."
hard_overlapping_windows,generative_agents_official_planner,0.82,0.58,0.12,0.67,1.0,0.0,0.24,0.7,0.0,generic adapter trace,"The itinerary itself is a plausible sequence for trying to meet two people in different places, but the repeated placeholder reasons and lack of scenario-specific justification make the full trace feel mechanically generated rather than convincingly planned."
hard_overlapping_windows,agentsociety_official_plan_blocks,0.72,0.34,0.88,0.61,0.8,0.0,0.38,0.5,0.2,missed first meeting window,"The plan reads like a reasonable attempt to juggle two social visits, but it chooses the cafe first and then arrives at the park too late for the earlier Casey window, making the full trace only weakly believable as successful urban behavior."
hard_stale_plan_override,gatsim_official_planner,0.08,0.04,0.12,0.09,0.833,0.0,0.04,0.2,0.167,stale planner override and incoherent sequence,"The trace ignores the updated meeting notice, follows an unrelated activity-plan script, and ends back at the office without any believable coordination with Ben."
hard_stale_plan_override,sotopia_official_llm_agent,0.96,0.83,0.95,0.9,0.9,0.06,0.13,0.4,0.1,slight over-confirmation,"The agent reacts to the update, moves to the correct location, and messages Ben appropriately, though it spends a bit of time wandering through stale options before settling in."
hard_stale_plan_override,generative_agents_official_planner,0.95,0.78,0.9,0.84,0.857,0.093,0.17,0.8,0.143,plan exhaustion after meeting,"The trace sensibly updates to the public notice, messages Ben, and arrives at the correct cafe on time, but then wanders through unnecessary dwell/service steps after the useful objective is already met."
hard_stale_plan_override,agentsociety_official_plan_blocks,0.88,0.46,0.93,0.72,1.0,0.0,0.42,1.0,0.0,stale-plan drift and unnecessary detour,"The update-confirmation intent and arrival at the quiet cafe are plausible, but the sequence wanders through unrelated locations before the meeting and then stops early, making the full behavior look less believable."
hard_three_meeting_relay,gatsim_official_planner,0.93,0.74,0.92,0.8,1.0,0.0,0.19,1.0,0.0,template-like reasoning,"The sequence is internally coherent and mostly matches the timing windows, but the repetitive GATSim phrasing makes it feel scripted rather than like natural city behavior."
hard_three_meeting_relay,sotopia_official_llm_agent,0.94,0.88,0.82,0.9,0.769,0.171,0.06,0.8,0.231,duplicate Casey interaction,"The plan structure is broadly realistic for a coordinated set of city meetups, but it oddly spends extra time with Casey and does not clearly justify the repeated interaction before moving on."
