scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.44,0.18,0.62,0.35,0.889,0.0,0.26,0.7,0.111,repeated and redundant actions,"The plan’s intent is understandable, but the trace repeats pharmacy actions, includes an odd enter-after-buy sequence, and claims a cafe meeting without a clearly credible budget-compatible path."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.86,0.38,0.84,0.72,0.778,0.082,0.48,0.45,0.222,missed time window and budget tension,"The plan sounds locally reasonable, but the sequence drifts past the meeting window and ends with an implausibly precarious budget state after a paid cafe stop."
hard_deadline_then_meet,api_llm_react_tool_policy,0.48,0.28,0.62,0.35,0.889,0.0,0.2,0.8,0.111,repeated and awkward service/entry sequencing,"The goal order is sensible, but the trace repeatedly enters and uses the pharmacy after already completing the pickup, and the cafe side includes contrived service evidence that makes the full behavior feel less believable."
hard_deadline_then_meet,api_llm_plan_and_execute,0.95,0.6,0.97,0.78,0.875,0.075,0.35,0.5,0.125,missed meeting window,"The plan to handle the urgent pharmacy pickup first is sensible, and the reasons match the actions, but the sequence drifts past Ben's 13:00-13:15 window before the interaction occurs."
hard_full_evening_chain,api_llm_react_tool_policy,0.88,0.18,0.62,0.72,0.7,0.18,0.7,0.55,0.3,repetitive duplicated buys,"The plan structure is broadly plausible for a rushed evening, but the trace loses believability because it repeats the same grocery-buy action several times and then relies on awkward procedural filler rather than a clean progression."
hard_full_evening_chain,api_llm_plan_and_execute,0.92,0.81,0.95,0.9,1.0,0.0,0.11,1.0,0.0,slightly compressed timing,"The plan sounds like a reasonable evening run with groceries, dinner, a timed diner meetup, and a return home, though the sequence is a bit tightly packed and the time accounting feels compressed in places."
hard_overlapping_windows,api_llm_react_tool_policy,0.9,0.45,0.93,0.72,1.0,0.0,0.45,0.7,0.0,late abandonment after missed window,"The plan and reasons sound sensible for prioritizing the earlier-closing park visit first, but the sequence then wastes time and explicitly abandons the second meeting after the cafe window has already closed."
hard_overlapping_windows,api_llm_plan_and_execute,0.86,0.46,0.95,0.62,0.875,0.0,0.4,0.5,0.125,missed cafe window timing,"The plan makes sense locally and the reasons match the moves, but the full trace drifts past Ben’s window and ends after the target time, so it reads as only partially successful urban behavior."
hard_stale_plan_override,api_llm_react_tool_policy,0.78,0.42,0.58,0.67,0.5,0.28,0.36,0.4,0.5,repetitive evidence-seeking loop,"The update-aware move to the cafe and the late confirmation message are plausible, but the repeated interaction steps look like artificial evidence farming and the sequence misses the actual updated meeting window."
hard_stale_plan_override,api_llm_plan_and_execute,0.91,0.54,0.97,0.78,0.833,0.077,0.37,0.4,0.167,arrives too late for stated window,"The actions and reasons are locally sensible for confirming and going to the updated cafe, but the sequence misses the stated 12:25-12:45 co-presence window and drifts past it, weakening full trace believability."
hard_three_meeting_relay,api_llm_react_tool_policy,0.97,0.91,0.98,0.88,1.0,0.0,0.06,1.0,0.0,minor over-ritualized venue steps,"The trace reads like a sensible, time-aware urban coordination plan, and the stated reasons mostly match the actions, though the repeated enter/use_service/dwell pattern feels slightly formalized."
hard_three_meeting_relay,api_llm_plan_and_execute,0.8,0.45,0.82,0.7,1.0,0.0,0.35,0.6,0.0,window timing slippage,"The plan sounds locally reasonable, but the trace drifts on timing, with the first two meetings slightly overshooting or compressing their windows and the venue-service steps feeling mechanically inserted."
