scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.87,0.52,0.94,0.76,1.0,0.0,0.35,0.85,0.0,budget and task ordering drift,"The individual actions sound reasonable for a busy city errand and the stated reasons match the steps, but the trace spends the available money on the cafe before the required medicine purchase and then abandons the home return, leaving the overall sequence only moderately believable."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.7,0.38,0.73,0.62,0.889,0.0,0.32,0.45,0.111,deadline and budget drift,"The plan sounds locally reasonable at first, but it misses the tight meeting window and still claims success despite drifting past the return deadline and spending nearly all remaining budget on the cafe stop."
hard_deadline_then_meet,api_llm_react_tool_policy,0.89,0.7,0.96,0.78,1.0,0.0,0.19,1.0,0.0,slight overengineering of cafe check-in,"The sequence sensibly prioritizes the pharmacy deadline before going to the cafe for the later meeting, and the stated reasons mostly match the actions, though the extra venue-service step and some generic movement make it a bit less natural overall."
hard_deadline_then_meet,api_llm_plan_and_execute,0.86,0.24,0.73,0.78,1.0,0.0,0.62,0.7,0.0,drifts after deadline,"The pickup-first reasoning is locally sensible, but the trace wastes time with unnecessary backtracking and never attempts the promised post-13:00 meeting, so the full behavior feels weakly believable as a complete plan."
hard_full_evening_chain,api_llm_react_tool_policy,0.86,0.52,0.77,0.68,0.909,0.0,0.34,0.7,0.091,late-sequence drift and self-contradiction,"The trace starts like a reasonable errand-and-dinner evening, but it later becomes inconsistent about home arrival and even abandons dinner after already claiming to have met the time and budget conditions."
hard_full_evening_chain,api_llm_plan_and_execute,0.96,0.78,0.95,0.92,1.0,0.0,0.18,1.0,0.0,time accounting oddity,"The sequence sounds like a normal, goal-directed evening with groceries, dinner, a timed meet-up, and a return home, though the movement timing is a bit compressed and internally inconsistent in places."
hard_overlapping_windows,api_llm_react_tool_policy,0.72,0.38,0.64,0.58,1.0,0.0,0.34,0.7,0.0,missed time window after detour,"The plan sounds locally reasonable, but it overcommits to the later cafe meeting and ends up arriving after the window, which makes the full trace less believable as successful city behavior."
hard_overlapping_windows,api_llm_plan_and_execute,0.72,0.41,0.78,0.55,0.875,0.0,0.31,0.5,0.125,timing inconsistency,"The plan sounds plausible at a glance, but it contains time arithmetic and window-matching errors that make the full sequence less believable as a successful city trace."
hard_stale_plan_override,api_llm_react_tool_policy,0.62,0.28,0.54,0.44,0.833,0.0,0.34,0.8,0.167,procedural overfitting and stale-plan drift,"The opening move to the updated cafe is plausible, but the trace quickly becomes mechanically self-justifying, with repeated actions and a premature finish that does not convincingly reflect ordinary city behavior."
hard_stale_plan_override,api_llm_plan_and_execute,0.86,0.62,0.9,0.78,0.833,0.027,0.24,0.4,0.167,stale-plan overcommitment,"The actions mostly fit a reasonable updated-meeting errand, but the trace feels slightly over-scripted and repetitive about timing and meeting evidence rather than naturally responding to the public update."
hard_three_meeting_relay,api_llm_react_tool_policy,0.96,0.72,0.91,0.83,1.0,0.0,0.24,1.0,0.0,over-scripted venue requirements,"The plan is locally coherent and time-aligned, but the repeated 'required next action' phrasing and mechanically staged venue steps make the full trace feel more scripted than ordinary city behavior."
hard_three_meeting_relay,api_llm_plan_and_execute,0.94,0.16,0.91,0.78,0.929,0.011,0.78,0.6,0.071,time-window drift,"The plan sounds like a reasonable city-day relay, but the sequence fails believability because the final meeting happens far outside Ben’s window and the stated dwell timing does not match the timestamps."
