scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,gatsim_official_planner,0.72,0.58,0.69,0.62,1.0,0.0,0.14,1.0,0.0,template-driven reasoning,"The itinerary is broadly urban-plausible, but the repeated planner-template reasons and the oddly generic cafe payment/social steps make it feel scripted rather than naturally motivated."
hard_budget_entangled_meet,sotopia_official_llm_agent,0.78,0.42,0.93,0.66,0.833,0.0,0.36,0.45,0.167,premature finish before meeting window,"The pharmacy trip and cafe arrival are locally sensible, but the agent stops after sending a message instead of actually co-presenting with Casey in the required time window."
hard_budget_entangled_meet,generative_agents_official_planner,0.55,0.42,0.1,0.5,0.75,0.0,0.13,0.45,0.25,generic adapter actions,"The sequence has a broadly reasonable home-pharmacy-cafe-home shape, but the stated reasons are boilerplate and the trace shows odd dwell/buy behavior at the cafe with a tight budget."
hard_budget_entangled_meet,agentsociety_official_plan_blocks,0.92,0.9,0.97,0.93,0.857,0.063,0.02,0.45,0.143,none,"The sequence is a straightforward, realistic errand-and-meeting plan that matches the stated intention, stays within budget, and returns home on time."
hard_deadline_then_meet,gatsim_official_planner,0.78,0.58,0.46,0.67,1.0,0.0,0.2,1.0,0.0,validator-like generic reasons,"The sequence itself is broadly urban-plausible—pickup first, then cafe meeting—but the reasons are generic and the cafe detour/use_service steps make the trace feel mechanically generated rather than naturally planned."
hard_deadline_then_meet,sotopia_official_llm_agent,0.72,0.38,0.55,0.61,0.833,0.0,0.34,0.2,0.167,redundant duplicate pharmacy service,"The overall sequence of getting the prescription first and then heading to the cafe is sensible, but the extra repeated pharmacy service and early finish make the full trace feel oddly executed and incomplete."
hard_deadline_then_meet,generative_agents_official_planner,0.93,0.42,0.76,0.71,0.8,0.13,0.51,0.5,0.2,late drift after deadline,"The plan to get the pharmacy pickup first and then go to the cafe is sensible, but the trace wastes time with extra dwell and service actions after arriving, which makes the full sequence feel only partly believable."
hard_deadline_then_meet,agentsociety_official_plan_blocks,0.9,0.72,0.98,0.84,0.625,0.275,0.18,0.2,0.375,late cafe wait padding,"The plan sequence is locally sensible and the reasons match the actions, but it includes unnecessary waiting after arriving at the cafe and is a bit padded rather than naturally timed."
hard_full_evening_chain,gatsim_official_planner,0.71,0.46,0.33,0.58,1.0,0.0,0.25,1.0,0.0,template-driven reasons,"The sequence of grocery shopping, dinner, a diner meetup, and returning home is broadly plausible, but the explanations are generic and the trace looks mechanically scripted rather than behaviorally grounded."
hard_full_evening_chain,sotopia_official_llm_agent,0.84,0.48,0.72,0.79,0.875,0.0,0.36,0.45,0.125,missed social window,"The sequence looks like a reasonable errands-plus-dinner evening, but it never actually stages the Casey meeting and stops early despite the stated goal of being home by nine."
hard_full_evening_chain,generative_agents_official_planner,0.78,0.62,0.34,0.7,1.0,0.0,0.16,0.75,0.0,missing social meeting,"The sequence of shopping, dinner, and returning home is broadly realistic, but it never actually routes or times a Casey meetup and the reasons are generic adapter text rather than plan logic."
hard_full_evening_chain,agentsociety_official_plan_blocks,0.87,0.46,0.91,0.74,1.0,0.0,0.41,0.6,0.0,unfinished evening chain,"The initial travel, grocery purchase, and dinner sequence is realistic and the reasons match the actions, but the trace stops early at the diner without the friend meeting or return home, making the full behavior only moderately believable."
hard_overlapping_windows,gatsim_official_planner,0.58,0.46,0.71,0.52,1.0,0.0,0.12,0.7,0.0,template-driven reasoning,"The sequence is locally coherent and hits both places in time, but the generic planner-style reasons and slightly mechanical ordering make it feel more like a benchmark script than ordinary city behavior."
hard_overlapping_windows,sotopia_official_llm_agent,0.48,0.27,0.18,0.41,0.857,0.0,0.21,0.2,0.143,aimless detour,"The sequence looks like generic city movement with no social-purpose actions or coherent timing for meeting both friends, and it ends after a stray cafe stop without any believable reasoned plan."
hard_overlapping_windows,generative_agents_official_planner,0.82,0.39,0.28,0.74,0.833,0.0,0.43,0.2,0.167,adapter-no-reasoning,"The movement pattern is plausible for meeting first at the park and then at the cafe, but the trace gives no substantive planning rationale and appears to arrive at the cafe after the meeting window, weakening full believability."
hard_overlapping_windows,agentsociety_official_plan_blocks,0.84,0.86,0.95,0.88,0.75,0.09,0.0,0.2,0.25,tight window timing,"The sequence is a normal-looking city itinerary that successfully fits both meetings into their windows, with only minor awkwardness around the exact timing of the second cafe arrival."
hard_stale_plan_override,gatsim_official_planner,0.64,0.28,0.42,0.48,0.429,0.211,0.36,0.2,0.571,stale scripted plan override,"The agent goes to the right updated location, but the trace reads like a generic scripted loop with repeated interactions and no actual confirmation of the schedule change from Ben."
hard_stale_plan_override,sotopia_official_llm_agent,0.84,0.58,0.72,0.81,0.857,0.0,0.26,0.4,0.143,redundant/aimless sequencing,"The agent sensibly checks the updated plan, relocates to the new venue, and waits there, but the trace includes an odd self-move and no clear confirmation of Ben’s presence before finishing."
hard_stale_plan_override,generative_agents_official_planner,0.83,0.52,0.72,0.68,0.429,0.401,0.31,0.4,0.571,idle lingering after update,"Aria’s move to the updated cafe and message to Ben are plausible, but the long sequence of repeated dwelling with no further response or adaptive action makes the full behavior feel only partly believable."
hard_stale_plan_override,agentsociety_official_plan_blocks,0.62,0.28,0.41,0.35,1.0,0.0,0.34,0.6,0.0,stale looping route,"The trace superficially resembles someone heading to a meeting, but the route repeatedly detours through irrelevant places and only confirms the update after arriving, making the overall behavior feel poorly grounded."
hard_three_meeting_relay,gatsim_official_planner,0.73,0.66,0.78,0.69,1.0,0.0,0.07,1.0,0.0,template-driven wording,"The sequence of moving to the park, then market, then diner is broadly plausible, but the reasons are generic planner boilerplate and the trace omits a coherent narrative for why the timing and service stops are necessary."
hard_three_meeting_relay,sotopia_official_llm_agent,0.86,0.34,0.55,0.41,0.833,0.027,0.52,0.2,0.167,timeline collapse and missed meetings,"The stated plan sounds plausible on its face, but the trace reaches the diner too early, never shows the Casey or Dana meetings, and then stops, so the full sequence does not read like a successful three-stop urban relay."
hard_three_meeting_relay,generative_agents_official_planner,0.86,0.41,0.95,0.62,0.714,0.146,0.45,0.4,0.286,time-window drift and idle padding,"The first two meetings and locations look reasonable, but the sequence drifts into extra dwell/service actions and misses the intended tight relay timing, especially for the last meeting window."
hard_three_meeting_relay,agentsociety_official_plan_blocks,0.96,0.61,0.98,0.72,0.667,0.293,0.35,0.6,0.333,odd waiting sequence,"The plan sounds locally reasonable and the reasons match the actions, but the trace includes redundant dwelling and an overlong wait pattern that makes the execution feel less like natural city behavior."
