repeat_id,scenario_id,agent_type,gpt54mini_face_plausibility,gpt54_face_plausibility,abs_diff_face_plausibility,threshold_agree_face_plausibility,gpt54mini_trace_believability,gpt54_trace_believability,abs_diff_trace_believability,threshold_agree_trace_believability,gpt54mini_rationale_alignment,gpt54_rationale_alignment,abs_diff_rationale_alignment,threshold_agree_rationale_alignment,gpt54mini_urban_common_sense,gpt54_urban_common_sense,abs_diff_urban_common_sense,threshold_agree_urban_common_sense
1,closed_study_spot_replacement,agentsociety_official_plan_blocks,0.78,0.84,0.06,1,0.44,0.72,0.28,0,0.72,0.63,0.09,0,0.67,0.86,0.19,0
1,closed_study_spot_replacement,gatsim_official_planner,0.82,0.72,0.1,1,0.48,0.43,0.05,1,0.77,0.38,0.39,0,0.74,0.61,0.13,0
1,closed_study_spot_replacement,generative_agents_official_planner,0.97,0.82,0.15,1,0.82,0.68,0.14,0,0.12,0.38,0.26,1,0.9,0.8,0.1,1
1,closed_study_spot_replacement,sotopia_official_llm_agent,0.71,0.42,0.29,0,0.12,0.1,0.02,1,0.18,0.12,0.06,1,0.22,0.3,0.08,1
1,detour_commute_midroute_block,agentsociety_official_plan_blocks,0.82,0.73,0.09,1,0.68,0.69,0.01,1,0.9,0.88,0.02,1,0.84,0.76,0.08,1
1,detour_commute_midroute_block,gatsim_official_planner,0.18,0.58,0.4,1,0.08,0.18,0.1,1,0.22,0.22,0.0,1,0.15,0.4,0.25,1
1,detour_commute_midroute_block,generative_agents_official_planner,0.28,0.28,0.0,1,0.12,0.12,0.0,1,0.15,0.05,0.1,1,0.22,0.22,0.0,1
1,detour_commute_midroute_block,sotopia_official_llm_agent,0.84,0.9,0.06,1,0.32,0.82,0.5,0,0.18,0.55,0.37,1,0.76,0.88,0.12,1
1,meeting_wait_trap,agentsociety_official_plan_blocks,0.83,0.69,0.14,0,0.41,0.24,0.17,1,0.76,0.33,0.43,0,0.72,0.58,0.14,0
1,meeting_wait_trap,gatsim_official_planner,0.76,0.42,0.34,0,0.22,0.18,0.04,1,0.31,0.12,0.19,1,0.6,0.28,0.32,1
1,meeting_wait_trap,generative_agents_official_planner,0.86,0.72,0.14,1,0.38,0.31,0.07,1,0.72,0.58,0.14,0,0.81,0.69,0.12,0
1,meeting_wait_trap,sotopia_official_llm_agent,0.88,0.42,0.46,0,0.34,0.1,0.24,1,0.92,0.28,0.64,0,0.76,0.18,0.58,0
1,school_pickup_social_detour,agentsociety_official_plan_blocks,0.98,0.92,0.06,1,0.91,0.88,0.03,1,0.99,0.97,0.02,1,0.96,0.95,0.01,1
1,school_pickup_social_detour,gatsim_official_planner,0.74,0.92,0.18,1,0.18,0.89,0.71,0,0.7,0.58,0.12,0,0.25,0.96,0.71,0
1,school_pickup_social_detour,generative_agents_official_planner,0.18,0.58,0.4,1,0.05,0.34,0.29,1,0.12,0.22,0.1,1,0.14,0.48,0.34,1
1,school_pickup_social_detour,sotopia_official_llm_agent,0.48,0.28,0.2,1,0.12,0.08,0.04,1,0.35,0.12,0.23,1,0.22,0.18,0.04,1
2,closed_study_spot_replacement,agentsociety_official_plan_blocks,0.93,0.82,0.11,1,0.74,0.61,0.13,0,0.98,0.78,0.2,1,0.9,0.74,0.16,1
2,closed_study_spot_replacement,gatsim_official_planner,0.74,0.8,0.06,1,0.32,0.68,0.36,1,0.41,0.58,0.17,1,0.58,0.84,0.26,0
2,closed_study_spot_replacement,generative_agents_official_planner,0.86,0.82,0.04,1,0.62,0.64,0.02,1,0.18,0.42,0.24,1,0.84,0.8,0.04,1
2,closed_study_spot_replacement,sotopia_official_llm_agent,0.78,0.84,0.06,1,0.44,0.61,0.17,1,0.32,0.55,0.23,1,0.71,0.8,0.09,1
2,detour_commute_midroute_block,agentsociety_official_plan_blocks,0.96,0.43,0.53,0,0.42,0.18,0.24,1,0.85,0.22,0.63,0,0.58,0.36,0.22,1
2,detour_commute_midroute_block,gatsim_official_planner,0.74,0.84,0.1,1,0.28,0.76,0.48,0,0.18,0.58,0.4,1,0.31,0.87,0.56,0
2,detour_commute_midroute_block,generative_agents_official_planner,0.18,0.32,0.14,1,0.12,0.14,0.02,1,0.02,0.05,0.03,1,0.15,0.22,0.07,1
2,detour_commute_midroute_block,sotopia_official_llm_agent,0.45,0.62,0.17,1,0.18,0.18,0.0,1,0.1,0.22,0.12,1,0.4,0.35,0.05,1
2,meeting_wait_trap,agentsociety_official_plan_blocks,0.85,0.77,0.08,1,0.36,0.34,0.02,1,0.83,0.72,0.11,1,0.72,0.69,0.03,0
2,meeting_wait_trap,gatsim_official_planner,0.12,0.02,0.1,1,0.02,0.0,0.02,1,0.15,0.05,0.1,1,0.08,0.02,0.06,1
2,meeting_wait_trap,generative_agents_official_planner,0.78,0.68,0.1,0,0.41,0.27,0.14,1,0.72,0.34,0.38,0,0.64,0.62,0.02,1
