group,comparison,x_metric,y_metric,n,pearson_r,spearman_rho
all,face_vs_task,judge_face_plausibility,task_completion,48,-0.041,0.055
all,face_vs_feasibility,judge_face_plausibility,trace_feasibility,48,-0.262,-0.277
all,trace_believability_vs_task,judge_trace_believability,task_completion,48,0.223,0.217
all,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,48,-0.341,-0.408
agentsociety_official_plan_blocks,face_vs_task,judge_face_plausibility,task_completion,12,0.345,0.339
agentsociety_official_plan_blocks,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,0.422,0.437
agentsociety_official_plan_blocks,trace_believability_vs_task,judge_trace_believability,task_completion,12,0.536,0.59
agentsociety_official_plan_blocks,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,0.503,0.583
gatsim_official_planner,face_vs_task,judge_face_plausibility,task_completion,12,-0.068,-0.104
gatsim_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,-0.418,-0.582
gatsim_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,12,0.291,0.258
gatsim_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,-0.233,-0.444
generative_agents_official_planner,face_vs_task,judge_face_plausibility,task_completion,12,-0.143,-0.096
generative_agents_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,-0.323,-0.343
generative_agents_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,12,-0.388,-0.365
generative_agents_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,-0.589,-0.516
sotopia_official_llm_agent,face_vs_task,judge_face_plausibility,task_completion,12,0.359,0.237
sotopia_official_llm_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,12,-0.279,-0.203
sotopia_official_llm_agent,trace_believability_vs_task,judge_trace_believability,task_completion,12,0.714,0.733
sotopia_official_llm_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,12,-0.787,-0.766
within_scenario_agent,face_vs_task,judge_face_plausibility,task_completion,48,-0.048,0.005
within_scenario_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,48,-0.341,-0.238
within_scenario_agent,trace_believability_vs_task,judge_trace_believability,task_completion,48,0.138,0.17
within_scenario_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,48,-0.451,-0.304
