scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.94,0.28,0.82,0.79,1.0,0.0,0.66,1.0,0.0,budget arithmetic conflict,"The sequence sounds like a normal city errand-and-meet plan on its face, but it becomes implausible because the budget accounting does not support all stated actions and the claimed meeting schedule is overly tidy for the constraints."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.82,0.48,0.93,0.74,1.0,0.0,0.34,0.6,0.0,budget overspend and timing drift,"The plan reads like a believable city outing, but the full trace breaks its own budget logic at the cafe and also runs the meeting and return-home timing past the stated windows."
hard_deadline_then_meet,api_llm_react_tool_policy,0.96,0.84,0.95,0.89,1.0,0.0,0.12,1.0,0.0,slight overexplaining of service/use evidence,"The sequence is locally coherent and matches the hard deadline-first, meeting-second setup, with only a mild sense of procedural padding around the cafe service step."
hard_deadline_then_meet,api_llm_plan_and_execute,0.84,0.42,0.71,0.58,1.0,0.0,0.42,0.7,0.0,deadline drift and aimless routing,"The plan to pick up the prescription first is sensible, but the trace then wanders through extra waypoints and ends at the wrong place and time for the cafe meeting."
hard_full_evening_chain,api_llm_react_tool_policy,0.92,0.78,0.96,0.89,1.0,0.0,0.14,1.0,0.0,slight sequencing compression,"The chain is locally sensible and the stated reasons match the actions, but the tight timing and instant travel/entry steps make the full trace a bit mechanically compressed rather than fully natural."
hard_full_evening_chain,api_llm_plan_and_execute,0.93,0.88,0.96,0.91,1.0,0.0,0.05,1.0,0.0,tight timing arithmetic,"The plan is locally coherent and matches the stated intent, with a believable sequence of errands and a diner meetup, though the timing math is a little compressed and slightly inconsistent in places."
hard_overlapping_windows,api_llm_react_tool_policy,0.96,0.92,0.98,0.9,1.0,0.0,0.04,1.0,0.0,slightly scripted timing,"The plan is locally coherent and matches the stated priority of the earlier window, with actions and reasons aligning well; the only minor issue is that the sequence reads a bit conveniently timed but still believable."
hard_overlapping_windows,api_llm_plan_and_execute,0.93,0.68,0.94,0.88,0.875,0.055,0.25,0.5,0.125,late cafe arrival,"The plan sounds locally sensible and the reasons mostly match the actions, but the sequence misses the cafe window by arriving after 13:00, so the full trace is only moderately believable."
hard_stale_plan_override,api_llm_react_tool_policy,0.92,0.41,0.88,0.79,1.0,0.0,0.51,1.0,0.0,premature assumption / overfitted sequence,"The actions start with a sensible confirmation and update-aware meetup attempt, but the trace then jumps to an implausibly efficient co-presence sequence and claims success without a realistic interaction path or evidence of Ben's presence."
hard_stale_plan_override,api_llm_plan_and_execute,0.78,0.42,0.84,0.61,1.0,0.0,0.36,0.6,0.0,time-window inconsistency,"The plan to confirm, travel, and meet at the updated cafe is locally sensible, but the sequence contains a clear timing mismatch and an awkward wait/meeting overlap that makes the full trace less believable."
hard_three_meeting_relay,api_llm_react_tool_policy,0.92,0.88,0.97,0.9,1.0,0.0,0.04,1.0,0.0,minor over-explanation,"The sequence is coherent and mostly city-plausible: the agent times three short meetings in order, stays within budget, and the stated reasons match the actions, though some steps are a bit mechanically phrased."
hard_three_meeting_relay,api_llm_plan_and_execute,0.96,0.18,0.9,0.72,0.846,0.114,0.78,0.4,0.154,missed time windows,"The plan sounds reasonable on the surface, but the executed timeline repeatedly misses the stated meeting windows, especially for Dana and Ben, so the full trace is not believable as successful city behavior."
