run,comprehension_accuracy,behavioral_inference_accuracy,prompt_accuracy,recommended_prompt_position,gate_pass
1,1.0,1.0,0.9444444444444444,system_prefix,True
2,1.0,1.0,0.8333333333333334,system_prefix,True
3,1.0,1.0,0.8333333333333334,memory_suffix,True
4,1.0,1.0,0.7222222222222222,action_context,True
5,0.6666666666666666,0.6666666666666666,0.8333333333333334,memory_suffix,False
6,1.0,1.0,0.9444444444444444,system_prefix,True
7,0.6666666666666666,1.0,0.9444444444444444,system_prefix,False
8,1.0,1.0,0.7777777777777778,system_prefix,True
9,1.0,0.6666666666666666,0.9444444444444444,system_prefix,False
10,1.0,0.6666666666666666,0.7777777777777778,action_context,False
11,0.6666666666666666,0.6666666666666666,1.0,system_prefix,False
12,1.0,0.6666666666666666,0.9444444444444444,memory_suffix,False
13,1.0,1.0,0.9444444444444444,memory_suffix,True
14,1.0,1.0,0.9444444444444444,system_prefix,True
15,1.0,1.0,1.0,system_prefix,True
16,1.0,1.0,1.0,system_prefix,True
17,1.0,1.0,1.0,system_prefix,True
18,1.0,1.0,1.0,system_prefix,True
19,1.0,1.0,1.0,system_prefix,True
20,1.0,1.0,1.0,system_prefix,True
