scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,gatsim_official_planner,0.82,0.48,0.77,0.74,0.875,0.0,0.34,1.0,0.125,unnecessary second venue and budget churn,"The bookstore-to-cafe sequence is locally reasonable for finding a quiet place, but the trace spends time and money at one spot before repeating the same work block at another without a clear need, which weakens full-sequence believability."
closed_study_spot_replacement,sotopia_official_llm_agent,0.71,0.12,0.18,0.22,1.0,0.0,0.59,0.4,0.0,unparseable agent action / dead-end sequence,"The intent to switch from a closed library to another quiet place is plausible, but the trace stops after a move to the library and an unparseable finish action, so it does not look like believable city behavior or a completed replacement plan."
closed_study_spot_replacement,generative_agents_official_planner,0.97,0.82,0.12,0.9,0.571,0.399,0.15,0.7,0.429,generic adapter reasons,"The sequence looks like a believable fallback from a closed library to quiet paid study spaces, but the stated reasons are boilerplate and do not explain the actual choices."
closed_study_spot_replacement,agentsociety_official_plan_blocks,0.78,0.44,0.72,0.67,0.875,0.0,0.34,1.0,0.125,repetitive dwell sequence,"Going to the bookstore as a quiet replacement and working there is plausible, but the trace becomes mechanically repetitive and spends the later steps idling without showing varied, natural behavior or a clear need for the extra dwell blocks."
detour_commute_midroute_block,gatsim_official_planner,0.18,0.08,0.22,0.15,1.0,0.0,0.1,1.0,0.0,scripted destination-following ignores disruption,The trace reads like a canned planner that goes directly to the office despite the mid-route block and never actually replans around the alert.
detour_commute_midroute_block,sotopia_official_llm_agent,0.84,0.32,0.18,0.76,1.0,0.0,0.52,0.45,0.0,generic action trace with no real replanning,"The route choice is plausible in broad outline, but the trace never reflects the service alert, gives only placeholder reasons, and skips the expected mid-route adaptation after the block appears."
detour_commute_midroute_block,generative_agents_official_planner,0.28,0.12,0.15,0.22,0.5,0.0,0.16,0.65,0.5,adapter-like repeated zero-duration moves,"The trace looks like a placeholder planner transcript rather than believable commuter behavior, with repeated no-op moves and a mid-route sequence that does not coherently reflect re-planning around the service alert."
detour_commute_midroute_block,agentsociety_official_plan_blocks,0.82,0.68,0.9,0.84,0.75,0.07,0.14,0.65,0.25,staged waiting at blocked hub,"The commute plan is locally reasonable and consistent with the stated goal, but the trace feels somewhat scripted because the agent waits at the hub until the block clears instead of clearly replanning around the disruption."
meeting_wait_trap,gatsim_official_planner,0.76,0.22,0.31,0.6,0.444,0.316,0.54,0.15,0.556,goal drift and repetitive filler actions,"The setup of going to a cafe to meet Ben is plausible, but the trace devolves into repeated plan-revision wording, aimless dwell time, and a late move that misses the meeting window."
meeting_wait_trap,sotopia_official_llm_agent,0.88,0.34,0.92,0.76,1.0,0.0,0.54,0.55,0.0,message loop without movement,"The plan setup is realistic and the messages match the goal, but the trace gets stuck repeatedly asking Ben for location while Aria never leaves the office or reaches the meeting window."
meeting_wait_trap,generative_agents_official_planner,0.86,0.38,0.72,0.81,0.667,0.193,0.48,0.35,0.333,missed coordination window,"The individual actions are realistic for a lunch coordination problem, but the sequence spends too long waiting and then switches plans so late that it no longer looks like a successful urban meeting behavior."
meeting_wait_trap,agentsociety_official_plan_blocks,0.83,0.41,0.76,0.72,0.667,0.163,0.42,0.35,0.333,coordination drift and waiting loop,"The individual moves and messages sound like a reasonable lunch coordination attempt, but the trace repeatedly waits and rechecks without ever clearly confirming Ben or achieving the meeting window."
school_pickup_social_detour,gatsim_official_planner,0.74,0.18,0.7,0.25,1.0,0.0,0.56,1.0,0.0,prematurely stopping at school without pickup,"The individual moves and service action are locally plausible, but the sequence ignores the actual pickup deadline, ends immediately after arriving at school, and reads like an activity-plan artifact rather than believable city behavior."
school_pickup_social_detour,sotopia_official_llm_agent,0.48,0.12,0.35,0.22,1.0,0.0,0.36,0.55,0.0,aimless detour and premature stop,"The route moves through plausible urban locations, but the trace never approaches school pickup and then loops/stops at the diner, which makes the overall behavior inconsistent with the stated caregiver goal."
school_pickup_social_detour,generative_agents_official_planner,0.18,0.05,0.12,0.14,0.8,0.0,0.13,1.0,0.2,adapter-driven idle dwell,"The trace does not behave like a real city decision process: it ignores the social detour, shows zero-time moves, then idles for an hour at school before finishing, which breaks the stated goal and timing logic."
school_pickup_social_detour,agentsociety_official_plan_blocks,0.98,0.91,0.99,0.96,1.0,0.0,0.07,1.0,0.0,none,"The trace is a straightforward rush-hour pickup with no detour, and the stated reasons match the actions and complete the goal well before the deadline."
