scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
social_copresence_decoy_location,api_llm_react_tool_policy,0.93,0.89,0.98,0.9,1.0,0.0,0.04,1.0,0.0,minor scripted optimization,"The agent follows a coherent, ordinary plan: confirm the meeting, travel to the correct cafe, wait, and meet Ben, with only a slightly game-like sequence of service and dwelling steps."
social_copresence_decoy_location,api_llm_plan_and_execute,0.98,0.9,0.97,0.88,1.0,0.0,0.08,1.0,0.0,minor over-optimization,"The trace cleanly follows the intended social plan: confirm with Ben, travel to the quiet cafe, wait, and meet within the window, with only mild oddness in how explicitly procedural the reasons sound."
social_copresence_event_window,api_llm_react_tool_policy,0.82,0.68,0.91,0.74,1.0,0.0,0.14,1.0,0.0,slight sequencing overengineering,"The trace reads like a plausible attempt to reach and meet Casey at the market, but the service-before-waiting and early finish make the full sequence feel a bit scripted and less natural."
social_copresence_event_window,api_llm_plan_and_execute,0.86,0.72,0.94,0.81,1.0,0.0,0.14,1.0,0.0,late meeting timing,"The plan to reach the market, wait, and attempt contact is locally reasonable, but the trace starts the interaction after the narrow window and then treats that as success, which weakens full-sequence believability."
social_copresence_message_gated,api_llm_react_tool_policy,0.92,0.86,0.97,0.88,1.0,0.0,0.06,1.0,0.0,minor over-automation of venue evidence,"The sequence matches the stated goal well and reads like a reasonable confirm-then-meet plan, though it slightly overdoes venue/service steps and uses some validator-like scaffolding."
social_copresence_message_gated,api_llm_plan_and_execute,0.92,0.7,0.96,0.84,1.0,0.0,0.22,1.0,0.0,slight timing drift,"The plan is locally coherent and follows the confirm-then-meet intent, but the meeting interaction starts after the stated window opens and the trace uses a somewhat staged sequence to force co-presence."
social_copresence_open_meet,api_llm_react_tool_policy,0.96,0.78,0.97,0.9,1.0,0.0,0.18,1.0,0.0,slight procedural overfitting,"The plan is locally coherent and matches the stated goal of a real park meetup, though the wording and sequence feel a bit too validator-aware for fully natural city behavior."
social_copresence_open_meet,api_llm_plan_and_execute,0.98,0.95,0.99,0.97,1.0,0.0,0.03,1.0,0.0,none,"The agent follows a believable lunch meetup pattern by traveling to the park, waiting for the window, and then interacting with Casey there without any obvious contradiction."
social_copresence_two_party,api_llm_react_tool_policy,0.86,0.62,0.9,0.74,1.0,0.0,0.24,1.0,0.0,unusual service-before-interaction sequencing,"The plan is locally sensible and matches the stated goal, but the full trace looks a bit synthetic because it inserts repetitive evidence-seeking and an odd paid-venue step before Ben without clear behavioral need."
social_copresence_two_party,api_llm_plan_and_execute,0.95,0.36,0.88,0.84,1.0,0.0,0.59,0.7,0.0,temporal drift and awkward waiting,"The plan structure is reasonable for two sequential meetups, but the trace weakens because the second wait explicitly references the wrong window and the timing drifts in a way that makes the full sequence less believable."
social_copresence_with_errand,api_llm_react_tool_policy,0.55,0.15,0.45,0.3,0.75,0.0,0.4,0.6,0.25,budget violation and duplicated/odd actions,"The plan sounds superficially like a normal errand-then-meeting day, but the trace devolves into repeated pharmacy actions, an unexplained venue service step, and ends with a negative budget, which makes the full behavior hard to believe."
social_copresence_with_errand,api_llm_plan_and_execute,0.72,0.54,0.83,0.78,0.857,0.0,0.18,0.8,0.143,time-window drift,"The errand-first then meeting-at-market sequence is plausible, but the dwell step explicitly waits for a window that has already been skipped, which weakens the full trace even though the stated intent matches the actions."
