scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.565,1.0,1.0,,0.0,0.0,15:43,plaza,11.0,0,{},2,18.274,17605,636,18241,True
closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,1.0,0.5,0.5,0.5,1.0,0.7,0.5,,0.481,1.0,0.35,,0.0,0.0,16:35,quiet_cafe,18.0,3,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""time_budget_failure"": 1}",6,18.761,39737,138,39875,True
closed_study_spot_replacement,poi_closure,generative_agents_official_planner,1.0,0.286,0.714,0.714,1.0,0.7,0.714,,1.0,1.0,0.2,,0.0,0.0,16:30,bookstore,18.0,5,"{""impossible_route"": 1, ""money_budget_failure"": 4}",11,58.87,61960,1479,63439,True
closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,0.375,0.625,0.625,1.0,0.7,0.625,,1.0,1.0,0.262,,0.0,0.0,15:47,bookstore,18.0,5,"{""invalid_state_transition"": 1, ""money_budget_failure"": 4}",12,100.543,81413,2479,83892,True
detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.867,1.0,1.0,,0.0,0.0,08:31,office,10.0,0,{},2,27.589,17549,709,18258,True
detour_commute_midroute_block,disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.45,0.0,0.0,0.4,1.0,0.45,,0.0,0.0,09:05,office,10.0,0,"{""goal_drift"": 1}",6,28.012,39467,139,39606,True
detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.75,0.25,0.25,0.0,0.65,0.25,0.0,0.634,1.0,0.488,,0.0,0.0,09:41,office,10.0,1,"{""time_budget_failure"": 1}",3,18.545,17368,675,18043,True
detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,0.8,0.2,0.2,0.0,0.65,0.2,0.0,1.0,1.0,0.52,,0.0,0.0,09:10,office,10.0,1,"{""invalid_state_transition"": 1}",6,59.659,40183,1084,41267,True
meeting_wait_trap,time_pressure,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,0.35,0.0,,1.0,1.0,0.35,0.0,0.0,0.0,12:27,quiet_cafe,16.0,0,"{""goal_drift"": 1}",2,15.145,17640,618,18258,True
meeting_wait_trap,time_pressure,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:51,cafe_central,16.0,0,{},8,29.913,53567,438,54005,True
meeting_wait_trap,time_pressure,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,1.0,1.0,0.8,0.5,0.0,0.0,13:15,cafe_central,4.0,0,{},3,14.355,17512,536,18048,True
meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,1.0,0.75,0.25,0.25,1.0,0.8,0.25,,0.568,1.0,0.6,1.0,0.0,0.0,13:11,cafe_central,16.0,2,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",8,52.565,54282,1803,56085,True
school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,1.0,1.0,0.8,0.5,0.0,0.0,17:27,school,12.0,0,{},1,29.519,8548,355,8903,True
school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.35,0.0,,1.0,1.0,0.35,0.5,0.0,0.0,17:26,school,12.0,0,"{""goal_drift"": 1}",4,10.556,25923,91,26014,True
school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,0.75,0.25,0.25,1.0,0.8,0.25,,1.0,1.0,0.6,0.5,0.0,0.0,17:42,school,12.0,1,"{""impossible_route"": 1}",3,13.428,17097,482,17579,True
school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,1.0,1.0,0.8,0.5,0.0,0.0,17:27,school,12.0,0,{},2,12.73,13114,345,13459,True
