repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,0.875,0.875,,,,,0.125,0.0,0.0,1.0,,1.0,0.125,0.388,1.0,,0.125,0.0,,0,0,2,66.069,19029,,,"{""time_budget_failure"": 1}",,
1,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.0,0.4,1.0,0.4,,,,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,,0,0,2,9.474,13731,,,"{""goal_drift"": 1}",,
1,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.5,0.7,0.571,0.4,,,,,0.429,0.0,0.0,1.0,,1.0,0.429,0.929,1.0,,0.429,1.0,,0,0,7,40.198,41768,,,"{""money_budget_failure"": 3}",,
1,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,1.0,0.875,0.875,,,,,0.125,0.0,0.0,1.0,,1.0,0.125,1.0,1.0,,0.125,1.0,,0,0,6,37.368,42194,,,"{""money_budget_failure"": 1}",,
1,detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.867,1.0,,0.0,0.0,,1,1,2,18.609,18518,,,{},,
1,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.0,0.45,1.0,0.45,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.591,1.0,,0.0,0.0,,0,0,5,21.373,33864,,,"{""goal_drift"": 1}",,
1,detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.65,0.5,0.325,0.0,,,,0.5,0.0,0.0,0.667,0.0,1.0,0.5,1.0,1.0,,0.5,1.0,,1,0,11,68.536,64580,,,"{""impossible_route"": 3, ""invalid_state_transition"": 1}",,
1,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,0.65,0.75,0.488,0.0,,,,0.25,0.0,0.0,0.667,0.0,1.0,0.25,1.0,1.0,,0.25,0.0,,0,0,6,36.31,41641,,,"{""invalid_state_transition"": 1}",,
1,meeting_wait_trap,time_pressure,gatsim_official_planner,0.0,0.15,0.444,0.067,,,,,0.556,0.0,0.0,0.429,,1.0,0.556,0.568,1.0,0.0,0.556,1.0,,0,0,6,56.062,56897,,,"{""invalid_state_transition"": 4, ""time_budget_failure"": 1}",,
1,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,,,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,10,48.711,69791,,,"{""goal_drift"": 1}",,
1,meeting_wait_trap,time_pressure,generative_agents_official_planner,0.308,0.35,0.667,0.233,,,,,0.333,0.0,0.0,0.429,,1.0,0.333,0.955,1.0,0.5,0.333,1.0,,0,0,5,30.685,30469,,,"{""money_budget_failure"": 3}",,
1,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.308,0.35,0.667,0.233,,,,,0.333,0.0,0.0,0.429,,1.0,0.333,0.396,1.0,0.5,0.333,1.0,,0,0,8,64.274,57155,,,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""time_budget_failure"": 1}",,
1,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0,0,1,10.019,9039,,,{},,
1,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.0,0.55,1.0,0.55,,,,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0,0,4,26.5,26751,,,"{""goal_drift"": 1}",,
1,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,1.0,0.8,0.8,,,,,0.2,0.0,0.0,1.0,,1.0,0.2,1.0,1.0,1.0,0.2,1.0,,0,0,3,26.695,18499,,,"{""impossible_route"": 1}",,
1,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0,0,2,12.92,13514,,,{},,
