scenario_id,agent_type,repeat_count,all_task_success,all_fully_feasible,any_task_success,any_infeasible,task_completion_mean,face_plausibility_mean
avoid_crowd_event,agentsociety_official_plan_blocks,1,0,1,0,0,0.5,0.91
avoid_crowd_event,gatsim_official_planner,1,0,1,0,0,0.5,0.33
avoid_crowd_event,generative_agents_official_planner,1,0,0,0,1,0.5,0.87
avoid_crowd_event,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.62
budget_errand_chain,agentsociety_official_plan_blocks,1,1,1,1,0,1.0,0.94
budget_errand_chain,gatsim_official_planner,1,1,1,1,0,1.0,0.72
budget_errand_chain,generative_agents_official_planner,1,0,0,0,1,0.6,0.74
budget_errand_chain,sotopia_official_llm_agent,1,0,0,0,1,0.0,0.78
closed_poi_replacement,agentsociety_official_plan_blocks,1,0,0,0,1,0.0,0.64
closed_poi_replacement,gatsim_official_planner,1,1,1,1,0,1.0,0.72
closed_poi_replacement,generative_agents_official_planner,1,0,0,0,1,0.0,0.82
closed_poi_replacement,sotopia_official_llm_agent,1,0,0,0,1,0.0,0.78
closed_study_spot_replacement,agentsociety_official_plan_blocks,1,1,0,1,1,1.0,0.78
closed_study_spot_replacement,gatsim_official_planner,1,1,0,1,1,1.0,0.82
closed_study_spot_replacement,generative_agents_official_planner,1,0,0,0,1,0.5,0.97
closed_study_spot_replacement,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.71
commute_disruption,agentsociety_official_plan_blocks,1,0,0,0,1,0.0,0.96
commute_disruption,gatsim_official_planner,1,1,1,1,0,1.0,0.15
commute_disruption,generative_agents_official_planner,1,0,0,0,1,0.0,0.17
commute_disruption,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.73
conflicting_social_obligation,agentsociety_official_plan_blocks,1,0,0,0,1,0.0,0.78
conflicting_social_obligation,gatsim_official_planner,1,0,1,0,0,0.583,0.15
conflicting_social_obligation,generative_agents_official_planner,1,1,0,1,1,1.0,0.92
conflicting_social_obligation,sotopia_official_llm_agent,1,0,0,0,1,0.417,0.89
detour_commute_midroute_block,agentsociety_official_plan_blocks,1,1,0,1,1,1.0,0.82
detour_commute_midroute_block,gatsim_official_planner,1,1,1,1,0,1.0,0.18
detour_commute_midroute_block,generative_agents_official_planner,1,1,0,1,1,1.0,0.28
detour_commute_midroute_block,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.84
lunch_meeting_time_pressure,agentsociety_official_plan_blocks,1,0,0,0,1,0.0,0.92
lunch_meeting_time_pressure,gatsim_official_planner,1,1,1,1,0,1.0,0.78
lunch_meeting_time_pressure,generative_agents_official_planner,1,0,0,0,1,0.0,0.87
lunch_meeting_time_pressure,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.78
meeting_wait_trap,agentsociety_official_plan_blocks,1,0,0,0,1,0.308,0.83
meeting_wait_trap,gatsim_official_planner,1,0,0,0,1,0.0,0.76
meeting_wait_trap,generative_agents_official_planner,1,0,0,0,1,0.308,0.86
meeting_wait_trap,sotopia_official_llm_agent,1,0,1,0,0,0.308,0.88
memory_dependent_place_choice,agentsociety_official_plan_blocks,1,0,0,0,1,0.533,0.93
memory_dependent_place_choice,gatsim_official_planner,1,1,1,1,0,1.0,0.78
memory_dependent_place_choice,generative_agents_official_planner,1,0,0,0,1,0.533,0.93
memory_dependent_place_choice,sotopia_official_llm_agent,1,0,0,0,1,0.0,0.95
school_pickup_social_detour,agentsociety_official_plan_blocks,1,1,1,1,0,1.0,0.98
school_pickup_social_detour,gatsim_official_planner,1,1,1,1,0,1.0,0.74
school_pickup_social_detour,generative_agents_official_planner,1,1,0,1,1,1.0,0.18
school_pickup_social_detour,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.48
unexpected_friend_encounter,agentsociety_official_plan_blocks,1,1,0,1,1,1.0,0.78
unexpected_friend_encounter,gatsim_official_planner,1,1,1,1,0,1.0,0.12
unexpected_friend_encounter,generative_agents_official_planner,1,1,0,1,1,1.0,0.71
unexpected_friend_encounter,sotopia_official_llm_agent,1,0,0,0,1,0.455,0.58
