agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,closed_place_action,1,0.083
agentsociety_official_plan_blocks,done_state_loop,1,0.083
agentsociety_official_plan_blocks,goal_drift,1,0.083
agentsociety_official_plan_blocks,invalid_state_transition,15,1.25
agentsociety_official_plan_blocks,money_budget_failure,9,0.75
agentsociety_official_plan_blocks,time_budget_failure,3,0.25
gatsim_official_planner,goal_drift,1,0.083
gatsim_official_planner,invalid_state_transition,4,0.333
gatsim_official_planner,time_budget_failure,2,0.167
generative_agents_official_planner,impossible_route,5,0.417
generative_agents_official_planner,invalid_state_transition,6,0.5
generative_agents_official_planner,money_budget_failure,11,0.917
sotopia_official_llm_agent,done_state_loop,1,0.083
sotopia_official_llm_agent,goal_drift,7,0.583
sotopia_official_llm_agent,invalid_state_transition,7,0.583
sotopia_official_llm_agent,money_budget_failure,1,0.083
