audit_id,image_filename,assigned_style,sample_type,label,rank,candidate_score,official_median_score,score_margin,global_label_rank,global_specificity_margin,left,top,width,height
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Coupled Twin Window,1,0.34423828125,0.3359375,0.00830078125,6,-0.0146484375,0.176,0.352,0.12,0.12
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Coupled Twin Window,2,0.338134765625,0.3359375,0.002197265625,4,-0.004150390625,0.16,0.32000000000000006,0.19999999999999998,0.19999999999999996
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Coupled Twin Window,3,0.33349609375,0.3359375,-0.00244140625,5,-0.0107421875,0.21110912703473989,0.17221825406947977,0.15556349186104046,0.3111269837220809
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Round Arch Portal,1,0.305908203125,0.310302734375,-0.00439453125,52,-0.052978515625,0.176,0.352,0.12,0.12
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Round Arch Portal,2,0.2958984375,0.310302734375,-0.014404296875,43,-0.032958984375,0.0,0.8444365081389595,0.3111269837220809,0.15556349186104046
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Round Arch Portal,3,0.295166015625,0.310302734375,-0.01513671875,60,-0.043701171875,0.21110912703473989,0.5166547622084393,0.15556349186104046,0.3111269837220809
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Round Arch Window,1,0.337158203125,0.28564453125,0.051513671875,11,-0.021728515625,0.176,0.352,0.12,0.12
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Round Arch Window,2,0.322265625,0.28564453125,0.03662109375,15,-0.02001953125,0.16,0.32000000000000006,0.19999999999999998,0.19999999999999996
WC-AUD-001,Q7592992_wd0.jpg,Romanesque,core,Round Arch Window,3,0.31787109375,0.28564453125,0.0322265625,21,-0.0263671875,0.21110912703473989,0.17221825406947977,0.15556349186104046,0.3111269837220809
WC-AUD-002,Q269654_wd0.jpg,Gothic,core,Fleuron,1,0.324462890625,0.2486572265625,0.0758056640625,31,-0.034423828125,0.704,0.528,0.1200000000000001,0.1200000000000001
WC-AUD-002,Q269654_wd0.jpg,Gothic,core,Fleuron,2,0.322021484375,0.2486572265625,0.0733642578125,21,-0.017822265625,0.528,0.352,0.1200000000000001,0.12
WC-AUD-002,Q269654_wd0.jpg,Gothic,core,Fleuron,3,0.32080078125,0.2486572265625,0.0721435546875,28,-0.028076171875,0.176,0.528,0.12,0.1200000000000001
WC-AUD-002,Q269654_wd0.jpg,Gothic,core,Pinnacle,1,0.330078125,0.292236328125,0.037841796875,2,-0.014404296875,0.34443650813895954,0.21110912703473989,0.3111269837220809,0.15556349186104046
