scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.88,0.42,0.73,0.61,0.889,0.0,0.46,0.7,0.111,repeated/odd action sequencing,"The plan sounds locally reasonable, but the trace repeats buying and entering at the pharmacy, then adds a paid cafe service and a somewhat contrived interaction sequence that weakens overall behavioral believability."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.84,0.38,0.74,0.58,0.9,0.0,0.46,0.6,0.1,time/budget handling feels contrived,"The plan sounds locally reasonable, but the sequence is internally strained: it uses a paid cafe stay to force the meeting, compresses timing awkwardly, and ends with a suspiciously perfect budget state despite the side purchase problem."
hard_deadline_then_meet,api_llm_react_tool_policy,0.96,0.9,0.98,0.94,1.0,0.0,0.06,1.0,0.0,slightly procedural waiting,"The agent follows a sensible deadline-first sequence, reaches the pharmacy on time, then waits and meets Ben in the correct window with reasons that match the actions."
hard_deadline_then_meet,api_llm_plan_and_execute,0.93,0.64,0.91,0.88,1.0,0.0,0.29,1.0,0.0,timing inconsistency and early-wait drift,"The plan sounds locally reasonable and the stated reasons match the actions, but the trace has a notable timing mismatch around the cafe arrival/wait sequence, which reduces full-sequence believability."
hard_full_evening_chain,api_llm_react_tool_policy,0.86,0.56,0.83,0.78,0.9,0.0,0.3,0.55,0.1,budget inconsistency,"The sequence sounds like a reasonable evening errand-and-dinner plan with the diner meeting timed plausibly, but the final budget goes negative and the late action ordering feels a bit contrived."
hard_full_evening_chain,api_llm_plan_and_execute,0.95,0.72,0.9,0.88,1.0,0.0,0.23,1.0,0.0,slight timing/sequence awkwardness,"The plan is locally coherent and urban-plausible, but the trace has a few odd sequencing choices and an overconfident completion claim that make the full sequence feel less natural than the surface plan."
hard_overlapping_windows,api_llm_react_tool_policy,0.81,0.42,0.88,0.76,1.0,0.0,0.39,0.7,0.0,missed Ben window,"The plan sounds locally sensible and the reasons match the actions, but the full trace slips past Ben’s deadline and ends in a failed outcome despite the intended coordination."
hard_overlapping_windows,api_llm_plan_and_execute,0.92,0.34,0.63,0.7,0.889,0.031,0.58,0.5,0.111,missed cafe window,"The plan sounds reasonable at first, but the full sequence arrives at the cafe after Ben's window has closed, so the trace reads as a plausible attempt that fails on timing."
hard_stale_plan_override,api_llm_react_tool_policy,0.72,0.41,0.83,0.58,1.0,0.0,0.31,1.0,0.0,overdetermined validator-chasing,"The first message and move are plausible, but the trace quickly starts optimizing for checklist satisfaction with contrived service and interaction steps rather than natural city behavior."
hard_stale_plan_override,api_llm_plan_and_execute,0.96,0.79,0.98,0.88,1.0,0.0,0.17,1.0,0.0,slight over-optimization,"The actions and reasons fit a reasonable plan to confirm an updated meeting and arrive at the right place on time, though the sequence feels a bit overly procedural and service-heavy for a simple meetup."
hard_three_meeting_relay,api_llm_react_tool_policy,0.93,0.72,0.88,0.76,1.0,0.0,0.21,1.0,0.0,over-scripted venue logic,"The plan is locally coherent and matches the stated meeting windows, but the repeated enter/use_service/dwell pattern feels overly procedural and slightly game-like rather than fully natural city behavior."
hard_three_meeting_relay,api_llm_plan_and_execute,0.62,0.44,0.58,0.57,0.929,0.0,0.18,0.6,0.071,timing drift and overexplained routing,"The sequence sounds like a reasonable multi-stop city errand on the surface, but the Ben meeting misses its stated window and several reasons lean on unnecessary or inconsistent constraints."
