scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
hard_budget_entangled_meet,api_llm_react_tool_policy,0.94,0.78,0.92,0.84,1.0,0.0,0.16,0.85,0.0,budget tension underused,"The sequence reads like a plausible urban errand-plus-meeting plan, and the reasons mostly match the actions, though the budget conflict is barely stressed and the behavior is somewhat scripted."
hard_budget_entangled_meet,api_llm_plan_and_execute,0.96,0.79,0.95,0.87,1.0,0.0,0.17,1.0,0.0,budget arithmetic is unusually neat,"The plan is locally coherent and matches the stated goal, but it feels slightly over-scripted because the spending and timing line up too cleanly for a tight-budget day."
hard_deadline_then_meet,api_llm_react_tool_policy,0.97,0.95,0.99,0.96,1.0,0.0,0.02,1.0,0.0,none,"The trace follows the hard-deadline-first then meeting-later order coherently, with reasons that match the actions and a realistic urban sequence."
hard_deadline_then_meet,api_llm_plan_and_execute,0.93,0.72,0.97,0.81,1.0,0.0,0.21,1.0,0.0,slight schedule tightness,"The plan logic is coherent and the stated reasons match the sequence, though the timing is a bit tidy and the meeting is handled with only moderate realism rather than messy human uncertainty."
hard_full_evening_chain,api_llm_react_tool_policy,0.78,0.43,0.76,0.67,1.0,0.0,0.35,0.7,0.0,budget-driven abandonment,"The early steps and stated reasons sound like a reasonable evening plan, but the sequence becomes less believable because it spends the budget, reaches the diner early, then aborts instead of cleanly handling the stated full chain."
hard_full_evening_chain,api_llm_plan_and_execute,0.9,0.87,0.96,0.89,1.0,0.0,0.03,1.0,0.0,slightly compressed timing,"The sequence reads like a reasonable evening errand-and-dinner plan, and the reasons match the actions well, though the timeline is a bit tightly packed and mildly scripted."
hard_overlapping_windows,api_llm_react_tool_policy,0.82,0.64,0.93,0.7,1.0,0.0,0.18,0.7,0.0,late completion of Ben meeting,"The plan reads like a reasonable urban itinerary and the stated reasons match the actions well, but the full trace drifts past Ben's window and then abandons the remaining goal, which weakens overall believability."
hard_overlapping_windows,api_llm_plan_and_execute,0.92,0.28,0.88,0.34,0.857,0.063,0.64,0.5,0.143,missed meeting window,"The plan sounds locally sensible, but the cafe leg arrives after Ben's window closes, so the full sequence reads as a flawed attempt to fit both meetings."
hard_stale_plan_override,api_llm_react_tool_policy,0.78,0.42,0.81,0.66,1.0,0.0,0.36,1.0,0.0,overly contrived validation steps,"The trace starts with a sensible update check and travel to the revised cafe, but it then pads the meeting with unnatural service/interaction steps and a self-justifying finish that make the full sequence feel staged rather than ordinary."
hard_stale_plan_override,api_llm_plan_and_execute,0.93,0.88,0.97,0.9,1.0,0.0,0.05,1.0,0.0,minor over-elaboration,"The agent responds sensibly to the schedule change, confirms with Ben, travels to the updated cafe, and meets within the new window, with only slightly overdescribed service timing."
hard_three_meeting_relay,api_llm_react_tool_policy,0.97,0.68,0.94,0.78,1.0,0.0,0.29,1.0,0.0,overly mechanical venue-service sequencing,"The plan reads like a reasonable city-day relay with times and locations that fit the stated windows, though the repeated enter/use_service/dwell pattern feels a bit formulaic rather than fully natural behavior."
hard_three_meeting_relay,api_llm_plan_and_execute,0.89,0.62,0.93,0.75,1.0,0.0,0.27,1.0,0.0,budget/service distraction and timing slack,"The plan reads like a reasonable city-day relay with the stated reasons matching the moves, but the repeated service purchases and long waiting stretches make the full trace feel somewhat contrived rather than natural."
