scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
closed_study_spot_replacement,gatsim_official_planner,0.8,0.68,0.58,0.84,1.0,0.0,0.12,1.0,0.0,mechanical planner-style reasoning and unnecessary paid access,"Choosing the nearby bookstore and working there is plausible, but the stated reasons are overly mechanical and paying for access despite a budget-conscious persona weakens the full trace."
closed_study_spot_replacement,sotopia_official_llm_agent,0.84,0.61,0.55,0.8,0.6,0.24,0.23,0.7,0.4,redundant bookstore sequencing,"Choosing the bookstore and working there is sensible, but dwelling before formally entering and then repeating another long dwell makes the full trace feel mechanically awkward rather than like natural city behavior."
closed_study_spot_replacement,generative_agents_official_planner,0.82,0.64,0.42,0.8,0.571,0.249,0.18,0.7,0.429,unmotivated switch to paid coworking after adequate bookstore work block,"Choosing the nearby bookstore and working there is plausible, but moving to coworking late without any stated need or budget impact makes the full sequence less believable."
closed_study_spot_replacement,agentsociety_official_plan_blocks,0.82,0.61,0.78,0.74,0.5,0.32,0.21,0.7,0.5,unmotivated second venue shift,"Replacing the closed library with a bookstore work block is sensible, but adding a long move to a cafe and another full work block without cost or timing rationale makes the overall trace less believable."
detour_commute_midroute_block,gatsim_official_planner,0.84,0.76,0.58,0.87,1.0,0.0,0.08,0.8,0.0,generic rationale hides replanning,"The commute behavior itself is plausible and reaches the office on time via a sensible detour after the hub disruption, but the stated reasons do not clearly acknowledge the alert or explain the route change."
detour_commute_midroute_block,sotopia_official_llm_agent,0.62,0.18,0.22,0.35,1.0,0.0,0.44,0.65,0.0,ignores mid-route service alert,"Getting to the office early is plausible on its face, but the trace unrealistically uses the hub-to-office link after a public disruption and shows no replanning despite the agent preferring reliable alternatives."
detour_commute_midroute_block,generative_agents_official_planner,0.32,0.14,0.05,0.22,0.875,0.0,0.18,0.5,0.125,ignores disruption and takes blocked link,"The trace wanders through unrelated locations, gives no meaningful replanning after the alert, and then uses the transit_hub-to-office leg during the blocked period despite a reliability-focused commute goal."
detour_commute_midroute_block,agentsociety_official_plan_blocks,0.43,0.18,0.22,0.36,0.75,0.0,0.25,0.85,0.25,uses blocked route after waiting,"It sounds somewhat like a commute replan at first, but the agent waits briefly and then takes the very transit-hub-to-office link that is supposed to be blocked until 08:55."
meeting_wait_trap,gatsim_official_planner,0.02,0.0,0.05,0.02,1.0,0.0,0.02,0.35,0.0,no meeting behavior,"The trace immediately ends at the office without any messaging or travel, so it does not plausibly pursue the lunch meeting objective."
meeting_wait_trap,sotopia_official_llm_agent,0.55,0.16,0.34,0.28,1.0,0.0,0.39,0.55,0.0,repetitive messaging without acting,"The initial coordination attempt is reasonable, but the trace devolves into spammy repeated messages and ends with a claimed departure to cafe_central while Aria is still at the office, so the overall behavior is not believable."
meeting_wait_trap,generative_agents_official_planner,0.68,0.27,0.34,0.62,0.556,0.124,0.41,0.35,0.444,waited at likely wrong cafes without coordinating,"Opening with a message is sensible, but then Aria spends the whole lunch window waiting and switching cafes without any follow-up confirmation, making the overall meeting behavior hard to believe as competent coordination."
meeting_wait_trap,agentsociety_official_plan_blocks,0.77,0.34,0.72,0.69,0.571,0.199,0.43,0.35,0.429,waiting at unconfirmed cafe past meeting window,"Starting with a confirmation message is sensible, but the plan then spends most of the lunch waiting at one cafe without getting Ben's reply or adapting before the 12:35-12:55 meeting window expires."
school_pickup_social_detour,gatsim_official_planner,0.88,0.84,0.52,0.93,1.0,0.0,0.04,1.0,0.0,event ignored without acknowledgment,"The behavior is a sensible caregiver trip that completes pickup early and gets home on time, but it unrealistically ignores the tempting social detour and uses generic reasons that do not reflect the scenario details."
school_pickup_social_detour,sotopia_official_llm_agent,0.89,0.76,0.58,0.87,0.667,0.223,0.13,0.55,0.333,missed social-detour context,"The behavior is sensible and completes pickup early, but it ignores the scenario's social temptation and the trace reasons are generic rather than explanatory."
school_pickup_social_detour,generative_agents_official_planner,0.86,0.71,0.42,0.9,0.8,0.06,0.15,1.0,0.2,missing social detour engagement,"Going straight from work to school for an early pickup is sensible, but the trace ignores the possible friend interruption and provides generic reasons that do not explain the behavior."
school_pickup_social_detour,agentsociety_official_plan_blocks,0.95,0.93,0.98,0.97,1.0,0.0,0.02,1.0,0.0,ignores social detour event,"Going straight from work to the school and completing pickup early is highly reasonable, though the trace does not engage with the possible friend invitation at all."
